name,team,position,predicted_assists
Ricardo Barbosa Pereira,Leicester,DEF,0.0
Riccardo Calafiori,Arsenal,DEF,0.0
Richarlison de Andrade,Spurs,FWD,0.0
Rico Henry,Brentford,DEF,0.0
Rico Lewis,Man City,DEF,0.0
Rob Holding,Crystal Palace,DEF,0.0
Robert Sánchez,Chelsea,GK,0.03
Robin Olsen,Aston Villa,GK,0.0
Rodrigo 'Rodri' Hernandez,Man City,MID,0.0
Rodrigo Bentancur,Spurs,MID,0.0
Rodrigo Martins Gomes,Wolves,MID,0.0
Rodrigo Muniz Carvalho,Fulham,FWD,0.0
Romain Faivre,Bournemouth,MID,0.0
Roman Dixon,Everton,DEF,0.0
Romelu Lukaku Bolingoli,Chelsea,FWD,0.0
Roméo Lavia,Chelsea,MID,0.0
Ronnie Edwards,Southampton,DEF,0.0
Ross Barkley,Aston Villa,MID,0.0
Ross Stewart,Southampton,FWD,0.0
Ruairi McConville,Brighton,DEF,0.0
Ryan Christie,Bournemouth,MID,0.43
Ryan Fraser,Newcastle,MID,0.0
Ryan Fraser,Southampton,MID,0.0
Ryan Gravenberch,Liverpool,MID,0.04
Ryan Manning,Southampton,DEF,0.0
Ryan Sessegnon,Fulham,DEF,0.0
Ryan Trevitt,Brentford,MID,0.0
Ryan Yates,Nott'm Forest,MID,0.0
Rúben Gato Alves Dias,Man City,DEF,0.0
Salah-Eddine Oulad M'hand,Arsenal,MID,0.0
Sam Johnstone,Crystal Palace,GK,0.0
Sam Johnstone,Wolves,GK,0.0
Sam Morsy,Ipswich,MID,0.0
Sam Szmodics,Ipswich,MID,0.0
Samuel Amissah,Fulham,DEF,0.0
Samuel Amo-Ameyaw,Southampton,MID,0.0
Samuel Edozie,Southampton,MID,0.0
Samuel Iling-Junior,Aston Villa,MID,0.0
Samuel Rak-Sakyi,Chelsea,MID,0.0
Sander Berge,Fulham,MID,0.0
Sandro Tonali,Newcastle,MID,0.0
Santiago Bueno,Wolves,DEF,0.0
Saša Kalajdžić,Wolves,FWD,0.0
Saša Lukić,Fulham,MID,0.0
Scott Carson,Man City,GK,0.0
Scott McTominay,Man Utd,MID,0.0
Sean Longstaff,Newcastle,MID,0.0
Sepp van den Berg,Brentford,DEF,0.0
Sepp van den Berg,Liverpool,DEF,0.0
Sergio Reguilón,Spurs,DEF,0.0
Shea Charles,Southampton,MID,0.0
Sil Swinkels,Aston Villa,DEF,0.0
Simon Adingra,Brighton,MID,0.0
Solly March,Brighton,MID,0.0
Son Heung-min,Spurs,MID,0.28
Spike Brits,Man City,GK,0.0
Stefan Bajčetić Maquieira,Liverpool,MID,0.0
Stefan Ortega Moreno,Man City,GK,0.0
Stephy Mavididi,Leicester,MID,0.18
Steven Benda,Fulham,GK,0.0
Sugawara Yukinari,Southampton,DEF,0.0
Sven Botman,Newcastle,DEF,0.0
Sávio 'Savinho' Moreira de Oliveira,Man City,MID,0.63
Séamus Coleman,Everton,DEF,0.0
Sékou Mara,Southampton,FWD,0.0
Taiwo Awoniyi,Nott'm Forest,FWD,0.01
Tariq Lamptey,Brighton,DEF,0.0
Tawanda Chirewa,Wolves,MID,0.0
Taylor Harwood-Bellis,Southampton,DEF,0.0
Thomas Partey,Arsenal,MID,0.1
Thomas Wilson-Brown,Leicester,DEF,0.0
Tim Iroegbunam,Everton,MID,0.0
Tim Ream,Fulham,DEF,0.0
Timo Werner,Spurs,MID,0.0
Timothy Castagne,Fulham,DEF,0.0
Tino Livramento,Newcastle,DEF,0.0
Toby Collyer,Man Utd,MID,0.0
Tom Cairney,Fulham,MID,0.0
Tom Cannon,Leicester,FWD,0.0
Tom Edozie,Wolves,MID,0.0
Tom Heaton,Man Utd,GK,0.0
Tom King,Wolves,GK,0.0
Tomiyasu Takehiro,Arsenal,DEF,0.0
Tommy Doyle,Wolves,MID,0.0
Tommy Setford,Arsenal,GK,0.0
Tomáš Souček,West Ham,MID,0.1
Tony Yogane,Brentford,MID,0.0
Tosin Adarabioyo,Chelsea,DEF,0.0
Toti António Gomes,Wolves,DEF,0.0
Trent Alexander-Arnold,Liverpool,DEF,0.33
Trevoh Chalobah,Chelsea,DEF,0.0
Trevoh Chalobah,Crystal Palace,DEF,0.1
Treymaurice Nyoni,Liverpool,MID,0.0
Tyler Adams,Bournemouth,MID,0.0
Tyler Dibling,Southampton,MID,0.08
Tyler Morton,Liverpool,MID,0.0
Tyrell Malacia,Man Utd,DEF,0.0
Tyrick Mitchell,Crystal Palace,DEF,0.3
Tyrique George,Chelsea,MID,0.0
Tyrone Mings,Aston Villa,DEF,0.0
Valentín Barco,Brighton,DEF,0.0
Victor Kristiansen,Leicester,DEF,0.01
Victor Lindelöf,Man Utd,DEF,0.0
Viljami Sinisalo,Aston Villa,GK,0.0
Virgil van Dijk,Liverpool,DEF,0.08
Vitalii Mykolenko,Everton,DEF,0.23
Vitaly Janelt,Brentford,MID,0.12
Vladimír Coufal,West Ham,DEF,0.0
Vítezslav Jaros,Liverpool,GK,0.0
Wanya Marçal-Madivádua,Leicester,MID,0.0
Wayne Hennessey,Nott'm Forest,GK,0.0
Welington Damascena Santos,Southampton,DEF,0.0
Wes Burns,Ipswich,MID,0.0
Wes Foderingham,West Ham,GK,0.0
Wes Okoduwa,Wolves,DEF,0.0
Wesley Fofana,Chelsea,DEF,0.0
Wilfred Ndidi,Leicester,MID,0.06
Will Alves,Leicester,MID,0.0
Will Dennis,Bournemouth,GK,0.0
Will Hughes,Crystal Palace,MID,0.0
Will Lankshear,Spurs,FWD,0.0
Will Smallbone,Southampton,MID,0.0
William Osula,Newcastle,FWD,0.0
William Saliba,Arsenal,DEF,0.1
Willy Boly,Nott'm Forest,DEF,0.0
Wilson Odobert,Spurs,MID,0.0
Wout Faes,Leicester,DEF,0.0
Yankuba Minteh,Brighton,MID,0.0
Yasin Ayari,Brighton,MID,0.0
Yehor Yarmoliuk,Brentford,MID,0.0
Yerson Mosquera,Wolves,DEF,0.0
Yoane Wissa,Brentford,FWD,0.04
Youri Tielemans,Aston Villa,MID,0.16
Youssef Ramalho Chermiti,Everton,FWD,0.0
Yunus Emre Konak,Brentford,MID,0.0
Yves Bissouma,Spurs,MID,0.0
Zach Abbott,Nott'm Forest,DEF,0.0
Zach Marsh,Crystal Palace,FWD,0.0
Álex Moreno Lopera,Aston Villa,DEF,0.0
Álex Moreno Lopera,Nott'm Forest,DEF,0.0
Ângelo Gabriel Borges Damaceno,Chelsea,MID,0.0
Đorđe Petrović,Chelsea,GK,0.0
Łukasz Fabiański,West Ham,GK,0.01
