name,team,position,GW,predicted_cards
Ben Doak,Liverpool,MID,22,0.0
Archie Harris,Bournemouth,DEF,22,0.0
Arijanet Muric,Ipswich,GK,22,0.0
Armando Broja,Chelsea,FWD,22,0.0
Armando Broja,Everton,FWD,22,0.0
Armel Bella-Kotchap,Southampton,DEF,22,0.0
Asher Agbinone,Crystal Palace,MID,22,0.0
Ashley Phillips,Spurs,DEF,22,0.0
Asmir Begovic,Everton,GK,22,0.0
Axel Disasi,Chelsea,DEF,22,0.0
Axel Tuanzebe,Ipswich,DEF,22,0.0
Ayden Heaven,Arsenal,DEF,22,0.0
Bart Verbruggen,Brighton,GK,22,0.0
Bastien Meupiyou,Wolves,DEF,22,0.0
Ben Brereton Díaz,Southampton,MID,22,0.0
Ben Broggio,Aston Villa,MID,22,0.0
Ben Chilwell,Chelsea,DEF,22,0.0
Ben Davies,Spurs,DEF,22,0.0
Enso González,Wolves,MID,22,0.0
Enzo Barrenechea,Aston Villa,MID,22,0.0
Enzo Fernández,Chelsea,MID,22,0.0
Jeremy Sarmiento Morante,Brighton,MID,22,0.0
Jayden Danns,Liverpool,FWD,22,0.0
Jayden Meghoma,Brentford,DEF,22,0.0
Jean-Clair Todibo,West Ham,DEF,22,0.0
Jean-Philippe Mateta,Crystal Palace,FWD,22,0.0
Jean-Ricner Bellegarde,Wolves,MID,22,0.0
Jeffrey Schlupp,Crystal Palace,MID,22,0.0
Jens Cajuste,Ipswich,MID,22,0.0
Jenson Metcalfe,Everton,MID,22,0.0
Jesper Lindstrøm,Everton,MID,22,0.0
Joe Worrall,Nott'm Forest,DEF,22,0.0
Jesurun Rak-Sakyi,Crystal Palace,MID,22,0.0
Joachim Kayi-Sanda,Southampton,DEF,22,0.0
Joe Aribo,Southampton,MID,22,0.0
Joe Gauci,Aston Villa,GK,22,0.0
Joe Gomez,Liverpool,DEF,22,0.0
Joe Hodge,Wolves,MID,22,0.0
Joe Lumley,Southampton,GK,22,0.0
Joe White,Newcastle,MID,22,0.0
Jayce Fitzgerald,Man Utd,MID,22,0.0
Jay Stansfield,Fulham,FWD,22,0.0
Jason Steele,Brighton,GK,22,0.0
Jarrod Bowen,West Ham,MID,22,0.0
Jakub Kiwior,Arsenal,DEF,22,0.0
Jakub Moder,Brighton,MID,22,0.0
Jakub Stolarczyk,Leicester,GK,22,0.0
Jamaal Lascelles,Newcastle,DEF,22,0.0
Jamal Lewis,Newcastle,DEF,22,0.0
Jamaldeen Jimoh,Aston Villa,MID,22,0.0
James Bree,Southampton,DEF,22,0.0
James Garner,Everton,MID,22,0.0
James Hill,Bournemouth,DEF,22,0.0
James Justin,Leicester,DEF,22,0.0
James McAtee,Man City,MID,22,0.0
James McConnell,Liverpool,MID,22,0.0
James Milner,Brighton,MID,22,0.0
James Ward-Prowse,Nott'm Forest,MID,22,0.0
James Ward-Prowse,West Ham,MID,22,0.0
Jarell Quansah,Liverpool,DEF,22,0.0
Jarrad Branthwaite,Everton,DEF,22,0.0
Joe Willock,Newcastle,MID,22,0.0
Joel Ward,Crystal Palace,DEF,22,0.0
Jaidon Anthony,Bournemouth,MID,22,0.0
Jørgen Strand Larsen,Wolves,FWD,22,0.0
Joško Gvardiol,Man City,DEF,22,0.0
Juan Larios López,Southampton,DEF,22,0.0
Julio Enciso,Brighton,MID,22,0.0
Julio Soler,Bournemouth,DEF,22,0.0
Julián Araujo Zúñiga,Bournemouth,DEF,22,0.0
Julián Álvarez,Man City,FWD,22,0.0
Justin Devenny,Crystal Palace,MID,22,0.0
Jérémy Doku,Man City,MID,22,0.0
Kacper Kozłowski,Brighton,MID,22,0.0
John McGinn,Aston Villa,MID,22,0.0
Kadan Young,Aston Villa,MID,22,0.0
Kaden Rodney,Crystal Palace,MID,22,0.0
Kaelan Casey,West Ham,DEF,22,0.0
Kai Havertz,Arsenal,FWD,22,0.0
Kaine Kesler-Hayden,Aston Villa,DEF,22,0.0
Kalvin Phillips,Ipswich,MID,22,0.0
Kamaldeen Sulemana,Southampton,MID,22,0.0
Karl Hein,Arsenal,GK,22,0.0
Joël Veltman,Brighton,DEF,22,0.0
João Pedro Junqueira de Jesus,Brighton,FWD,22,0.0
João Pedro Ferreira Silva,Nott'm Forest,MID,22,0.0
João Neves Virgínia,Everton,GK,22,0.0
John Ruddy,Newcastle,GK,22,0.0
John Stones,Man City,DEF,22,0.0
Jonathan Panzo,Nott'm Forest,DEF,22,0.0
Jonny Evans,Man Utd,DEF,22,0.0
Jorge Cuenca Barreno,Fulham,DEF,22,0.0
Jorge Luiz Frello Filho,Arsenal,MID,22,0.0
Joseph O'Brien-Whitmarsh,Southampton,MID,22,0.0
Josh Acheampong,Chelsea,DEF,22,0.0
Josh Bowler,Nott'm Forest,MID,22,0.0
Josh Dasilva,Brentford,MID,22,0.0
Josh King,Fulham,MID,22,0.0
Josh Nichols,Arsenal,DEF,22,0.0
Josh Wilson-Esbrand,Man City,DEF,22,0.0
Joshua Zirkzee,Man Utd,FWD,22,0.0
José Malheiro de Sá,Wolves,GK,22,0.0
João Cavaco Cancelo,Man City,DEF,22,0.0
Aaron Hickey,Brentford,DEF,22,0.0
Jake O'Brien,Everton,DEF,22,0.0
Jahmai Simpson-Pusey,Man City,DEF,22,0.0
Eric da Silva Moreira,Nott'm Forest,MID,22,0.0
George Hirst,Ipswich,FWD,22,0.0
Fábio Freitas Gouveia Carvalho,Brentford,MID,22,0.0
Fábio Silva,Wolves,FWD,22,0.0
Gabriel Martinelli Silva,Arsenal,MID,22,0.0
Gabriel dos Santos Magalhães,Arsenal,DEF,22,0.0
Garang Kuol,Newcastle,MID,22,0.0
Gavin Bazunu,Southampton,GK,22,0.0
George Earthy,West Ham,MID,22,0.0
George Edmundson,Ipswich,DEF,22,0.0
Georginio Rutter,Brighton,MID,22,0.0
Harrison Reed,Fulham,MID,22,0.0
Giovani Lo Celso,Spurs,MID,22,0.0
Godwill Kukonki,Man Utd,DEF,22,0.0
Gonçalo Manuel Ganchinho Guedes,Wolves,MID,22,0.0
Guglielmo Vicario,Spurs,GK,22,0.0
Gustavo Nunes Fernandes Gomes,Brentford,MID,22,0.0
Hamed Traorè,Bournemouth,MID,22,0.0
Hamza Choudhury,Leicester,MID,22,0.0
Hannibal Mejbri,Man Utd,MID,22,0.0
Fábio Ferreira Vieira,Arsenal,MID,22,0.0
Freddie Ladapo,Ipswich,FWD,22,0.0
Fraser Forster,Spurs,GK,22,0.0
Frank Onyeka,Brentford,MID,22,0.0
Erling Haaland,Man City,FWD,22,0.0
Ethan Brierley,Brentford,MID,22,0.0
Ethan Nwaneri,Arsenal,MID,22,0.0
Ethan Pinnock,Brentford,DEF,22,0.0
Ethan Wheatley,Man Utd,FWD,22,0.0
Evan Ferguson,Brighton,FWD,22,0.0
Ezra Mayers,West Ham,DEF,22,0.0
Ezri Konsa Ngoyo,Aston Villa,DEF,22,0.0
Facundo Pellistri Rebollo,Man Utd,MID,22,0.0
Federico Chiesa,Liverpool,MID,22,0.0
Felipe Rodrigues da Silva,Nott'm Forest,DEF,22,0.0
Ferdi Kadioglu,Brighton,DEF,22,0.0
Filip Jørgensen,Chelsea,GK,22,0.0
Filip Marschall,Aston Villa,GK,22,0.0
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,22,0.0
Francisco Jorge Tomás Oliveira,Wolves,MID,22,0.0
Franco Umeh-Chibueze,Crystal Palace,MID,22,0.0
Harrison Armstrong,Everton,MID,22,0.0
Harry Amass,Man Utd,DEF,22,0.0
Jadon Sancho,Man Utd,MID,22,0.0
Jack Grealish,Man City,MID,22,0.0
Isaac Hayden,Newcastle,MID,22,0.0
Ismaïla Sarr,Crystal Palace,MID,22,0.0
Ismeal Kabia,Arsenal,MID,22,0.0
Issa Diop,Fulham,DEF,22,0.0
Issa Kaboré,Man City,DEF,22,0.0
Ivan Toney,Brentford,FWD,22,0.0
Jack Clarke,Ipswich,MID,22,0.0
Jack Fletcher,Man Utd,MID,22,0.0
Jack Harrison,Everton,MID,22,0.0
Harry Clarke,Ipswich,DEF,22,0.0
Jack Hinshelwood,Brighton,MID,22,0.0
Jack Taylor,Ipswich,MID,22,0.0
Jacob Greaves,Ipswich,DEF,22,0.0
Jacob Murphy,Newcastle,MID,22,0.0
Jacob Ramsey,Aston Villa,MID,22,0.0
Jacob Slater,Brighton,DEF,22,0.0
Jacob Wright,Man City,MID,22,0.0
Jadon Sancho,Chelsea,MID,22,0.0
Imari Samuels,Brighton,DEF,22,0.0
Illia Zabarnyi,Bournemouth,DEF,22,0.0
Ilkay Gündogan,Man City,MID,22,0.0
Iliman Ndiaye,Everton,FWD,22,0.0
Harry Souttar,Leicester,DEF,22,0.0
Harry Toffolo,Nott'm Forest,DEF,22,0.0
Harry Wilson,Fulham,MID,22,0.0
Harry Winks,Leicester,MID,22,0.0
Harvey Barnes,Newcastle,MID,22,0.0
Harvey Davies,Liverpool,GK,22,0.0
Harvey Elliott,Liverpool,MID,22,0.0
Henry Cartwright,Leicester,MID,22,0.0
Hugo Bueno López,Wolves,DEF,22,0.0
Hwang Hee-chan,Wolves,MID,22,0.0
Hwang Ui-jo,Nott'm Forest,FWD,22,0.0
Hákon Valdimarsson,Brentford,GK,22,0.0
Ian Maatsen,Aston Villa,DEF,22,0.0
Ibrahim Osman,Brighton,MID,22,0.0
Ibrahim Sangaré,Nott'm Forest,MID,22,0.0
Idrissa Gueye,Everton,MID,22,0.0
Igor Thiago Nascimento Rodrigues,Brentford,FWD,22,0.0
Łukasz Fabiański,West Ham,GK,22,0.0
